Conf,Year,index
CSS,2000,29
CSS,2001,26
CSS,2002,25
CSS,2003,34
CSS,2004,50
CSS,2005,39
CSS,2006,54
CSS,2007,51
CSS,2008,50
CSS,2009,58
CSS,2010,96
CSS,2011,100
CSS,2012,100
CSS,2013,99
CSS,2014,143
CSS,2015,157
CSS,2016,141
CSS,2017,191
CSS,2018,198
CSS,2019,207
CSS,2020,125
IEEE,2000,19
IEEE,2001,16
IEEE,2002,17
IEEE,2003,19
IEEE,2004,18
IEEE,2005,17
IEEE,2006,32
IEEE,2007,29
IEEE,2008,28
IEEE,2009,26
IEEE,2010,34
IEEE,2011,34
IEEE,2012,61
IEEE,2013,66
IEEE,2014,81
IEEE,2015,78
IEEE,2016,87
IEEE,2017,93
IEEE,2018,105
IEEE,2019,123
IEEE,2020,152
NDSS,2000,12
NDSS,2001,15
NDSS,2002,12
NDSS,2003,17
NDSS,2004,16
NDSS,2005,16
NDSS,2006,17
NDSS,2007,17
NDSS,2008,21
NDSS,2009,20
NDSS,2010,24
NDSS,2011,27
NDSS,2012,45
NDSS,2013,49
NDSS,2014,54
NDSS,2015,49
NDSS,2016,1
NDSS,2017,68
NDSS,2019,89
NDSS,2020,88
Usenix,2000,20
Usenix,2001,25
Usenix,2002,28
Usenix,2003,33
Usenix,2004,22
Usenix,2005,22
Usenix,2006,33
Usenix,2007,71
Usenix,2008,69
Usenix,2009,25
Usenix,2010,29
Usenix,2011,49
Usenix,2012,112
Usenix,2013,98
Usenix,2014,116
Usenix,2015,86
Usenix,2016,114
Usenix,2017,136
Usenix,2018,176
Usenix,2019,182
Usenix,2020,216
